tradeReportDate,securitiesInformationProcessorSymbolIdentifier,shortParQuantity,shortExemptParQuantity,totalParQuantity,marketCode,reportingFacilityCode,YF_High,YF_Low,YF_Open,YF_Close,YF_Volume
2020-08-06,AAPL,12242431,101985,18776312,Q,NQTRF,114.4124984741211,109.79750061035156,110.40499877929688,113.90249633789062,202428800
2020-08-06,AAPL,5830409,351,9625214,N,NYTRF,114.4124984741211,109.79750061035156,110.40499877929688,113.90249633789062,202428800
2020-08-07,AAPL,134673,0,233937,B,NCTRF,113.67500305175781,110.2925033569336,113.20500183105469,111.11250305175781,198045600
2020-08-07,AAPL,6077074,92310,16553498,Q,NQTRF,113.67500305175781,110.2925033569336,113.20500183105469,111.11250305175781,198045600
2020-08-07,AAPL,4160563,100,7809281,N,NYTRF,113.67500305175781,110.2925033569336,113.20500183105469,111.11250305175781,198045600
2020-08-10,AAPL,158609,0,283449,B,NCTRF,113.7750015258789,110.0,112.5999984741211,112.72750091552734,212403600
2020-08-10,AAPL,7348443,107883,19585596,Q,NQTRF,113.7750015258789,110.0,112.5999984741211,112.72750091552734,212403600
2020-08-10,AAPL,5241757,100,10038902,N,NYTRF,113.7750015258789,110.0,112.5999984741211,112.72750091552734,212403600
2020-08-11,AAPL,121970,0,189342,B,NCTRF,112.48249816894531,109.10749816894531,111.97000122070312,109.375,187902400
2020-08-11,AAPL,5416375,86368,15676621,Q,NQTRF,112.48249816894531,109.10749816894531,111.97000122070312,109.375,187902400
2020-08-11,AAPL,3489847,300,6499864,N,NYTRF,112.48249816894531,109.10749816894531,111.97000122070312,109.375,187902400
2020-08-12,AAPL,150182,0,216150,B,NCTRF,113.2750015258789,110.29750061035156,110.49749755859375,113.01000213623047,165598000
2020-08-12,AAPL,5510037,61935,14547366,Q,NQTRF,113.2750015258789,110.29750061035156,110.49749755859375,113.01000213623047,165598000
2020-08-12,AAPL,3407384,0,7278865,N,NYTRF,113.2750015258789,110.29750061035156,110.49749755859375,113.01000213623047,165598000
2020-08-13,AAPL,159957,0,328275,B,NCTRF,116.0425033569336,113.92749786376953,114.43000030517578,115.01000213623047,210082000
2020-08-13,AAPL,7325673,115928,18909934,Q,NQTRF,116.0425033569336,113.92749786376953,114.43000030517578,115.01000213623047,210082000
2020-08-13,AAPL,5370327,2002,9947926,N,NYTRF,116.0425033569336,113.92749786376953,114.43000030517578,115.01000213623047,210082000
2020-08-14,AAPL,151734,0,219786,B,NCTRF,115.0,113.04499816894531,114.83000183105469,114.90750122070312,165565200
2020-08-14,AAPL,5578096,66231,14323950,Q,NQTRF,115.0,113.04499816894531,114.83000183105469,114.90750122070312,165565200
2020-08-14,AAPL,4410441,415,7817799,N,NYTRF,115.0,113.04499816894531,114.83000183105469,114.90750122070312,165565200
2020-08-17,AAPL,89677,0,158565,B,NCTRF,116.0875015258789,113.9625015258789,116.0625,114.60749816894531,119561600
2020-08-17,AAPL,3243057,50165,8898755,Q,NQTRF,116.0875015258789,113.9625015258789,116.0625,114.60749816894531,119561600
2020-08-17,AAPL,2085954,50,4772057,N,NYTRF,116.0875015258789,113.9625015258789,116.0625,114.60749816894531,119561600
2020-08-18,AAPL,93251,0,158451,B,NCTRF,116.0,114.00749969482422,114.35250091552734,115.5625,105633600
2020-08-18,AAPL,3122373,44747,8425564,Q,NQTRF,116.0,114.00749969482422,114.35250091552734,115.5625,105633600
2020-08-18,AAPL,2045045,0,4426773,N,NYTRF,116.0,114.00749969482422,114.35250091552734,115.5625,105633600
2020-08-19,AAPL,86615,0,166433,B,NCTRF,117.1624984741211,115.61000061035156,115.98249816894531,115.7074966430664,145538000
2020-08-19,AAPL,4616494,61056,12245568,Q,NQTRF,117.1624984741211,115.61000061035156,115.98249816894531,115.7074966430664,145538000
2020-08-19,AAPL,3450680,0,6481698,N,NYTRF,117.1624984741211,115.61000061035156,115.98249816894531,115.7074966430664,145538000
2020-08-20,AAPL,95722,0,137279,B,NCTRF,118.39250183105469,115.73249816894531,115.75,118.2750015258789,126907200
2020-08-20,AAPL,4152669,86530,10579046,Q,NQTRF,118.39250183105469,115.73249816894531,115.75,118.2750015258789,126907200
2020-08-20,AAPL,2809695,0,5222455,N,NYTRF,118.39250183105469,115.73249816894531,115.75,118.2750015258789,126907200
2020-08-21,AAPL,340025,0,481696,B,NCTRF,124.86750030517578,119.25,119.26249694824219,124.37000274658203,338054800
2020-08-21,AAPL,12592110,237741,28582510,Q,NQTRF,124.86750030517578,119.25,119.26249694824219,124.37000274658203,338054800
2020-08-21,AAPL,7383408,0,13266095,N,NYTRF,124.86750030517578,119.25,119.26249694824219,124.37000274658203,338054800
2020-08-24,AAPL,208238,0,519118,B,NCTRF,128.78500366210938,123.9375,128.69749450683594,125.85749816894531,345937600
2020-08-24,AAPL,11808033,137254,30794744,Q,NQTRF,128.78500366210938,123.9375,128.69749450683594,125.85749816894531,345937600
2020-08-24,AAPL,7807936,10,14027166,N,NYTRF,128.78500366210938,123.9375,128.69749450683594,125.85749816894531,345937600
2020-08-25,AAPL,148529,0,260341,B,NCTRF,125.18000030517578,123.05249786376953,124.69750213623047,124.82499694824219,211495600
2020-08-25,AAPL,6664898,103745,18121196,Q,NQTRF,125.18000030517578,123.05249786376953,124.69750213623047,124.82499694824219,211495600
2020-08-25,AAPL,5031531,31,9240116,N,NYTRF,125.18000030517578,123.05249786376953,124.69750213623047,124.82499694824219,211495600
2020-08-26,AAPL,113643,0,202133,B,NCTRF,126.99250030517578,125.0824966430664,126.18000030517578,126.52249908447266,163022400
2020-08-26,AAPL,4810324,56665,13223556,Q,NQTRF,126.99250030517578,125.0824966430664,126.18000030517578,126.52249908447266,163022400
2020-08-26,AAPL,3680382,106,7421018,N,NYTRF,126.99250030517578,125.0824966430664,126.18000030517578,126.52249908447266,163022400
2020-08-27,AAPL,161511,0,254796,B,NCTRF,127.48500061035156,123.8324966430664,127.14250183105469,125.01000213623047,155552400
2020-08-27,AAPL,4770659,39307,12544454,Q,NQTRF,127.48500061035156,123.8324966430664,127.14250183105469,125.01000213623047,155552400
2020-08-27,AAPL,3055662,400,5861139,N,NYTRF,127.48500061035156,123.8324966430664,127.14250183105469,125.01000213623047,155552400
2020-08-28,AAPL,82723,0,152455,B,NCTRF,126.44249725341797,124.57749938964844,126.01249694824219,124.80750274658203,187630000
2020-08-28,AAPL,5046358,46001,12593918,Q,NQTRF,126.44249725341797,124.57749938964844,126.01249694824219,124.80750274658203,187630000
2020-08-28,AAPL,3091213,87,5914814,N,NYTRF,126.44249725341797,124.57749938964844,126.01249694824219,124.80750274658203,187630000
2020-08-31,AAPL,228959,0,605792,B,NCTRF,131.0,126.0,127.58000183105469,129.0399932861328,225702700
2020-08-31,AAPL,24344782,113530,72146227,Q,NQTRF,131.0,126.0,127.58000183105469,129.0399932861328,225702700
2020-08-31,AAPL,14690501,0,30606880,N,NYTRF,131.0,126.0,127.58000183105469,129.0399932861328,225702700
2020-09-01,AAPL,162517,0,448404,B,NCTRF,134.8000030517578,130.52999877929688,132.75999450683594,134.17999267578125,151948100
2020-09-01,AAPL,17187671,255916,50943695,Q,NQTRF,134.8000030517578,130.52999877929688,132.75999450683594,134.17999267578125,151948100
2020-09-01,AAPL,11547888,1399,22564051,N,NYTRF,134.8000030517578,130.52999877929688,132.75999450683594,134.17999267578125,151948100
2020-09-02,AAPL,328074,0,751033,B,NCTRF,137.97999572753906,127.0,137.58999633789062,131.39999389648438,200119000
2020-09-02,AAPL,17376513,800563,63839566,Q,NQTRF,137.97999572753906,127.0,137.58999633789062,131.39999389648438,200119000
2020-09-02,AAPL,15607239,1638,33196620,N,NYTRF,137.97999572753906,127.0,137.58999633789062,131.39999389648438,200119000
2020-09-03,AAPL,391068,0,873415,B,NCTRF,128.83999633789062,120.5,126.91000366210938,120.87999725341797,257599600
2020-09-03,AAPL,18396223,799456,75514961,Q,NQTRF,128.83999633789062,120.5,126.91000366210938,120.87999725341797,257599600
2020-09-03,AAPL,16792323,4346,43071056,N,NYTRF,128.83999633789062,120.5,126.91000366210938,120.87999725341797,257599600
2020-09-04,AAPL,546612,0,1477357,B,NCTRF,123.69999694824219,110.88999938964844,120.06999969482422,120.95999908447266,332607200
2020-09-04,AAPL,31179740,1116441,105647905,Q,NQTRF,123.69999694824219,110.88999938964844,120.06999969482422,120.95999908447266,332607200
2020-09-04,AAPL,18988426,2857,47934697,N,NYTRF,123.69999694824219,110.88999938964844,120.06999969482422,120.95999908447266,332607200
2020-09-08,AAPL,313652,0,936804,B,NCTRF,118.98999786376953,112.68000030517578,113.94999694824219,112.81999969482422,231366600
2020-09-08,AAPL,22500911,202156,69632403,Q,NQTRF,118.98999786376953,112.68000030517578,113.94999694824219,112.81999969482422,231366600
2020-09-08,AAPL,16417989,63,32425192,N,NYTRF,118.98999786376953,112.68000030517578,113.94999694824219,112.81999969482422,231366600
2020-09-09,AAPL,224064,0,786203,B,NCTRF,119.13999938964844,115.26000213623047,117.26000213623047,117.31999969482422,176940500
2020-09-09,AAPL,18436418,162573,56143284,Q,NQTRF,119.13999938964844,115.26000213623047,117.26000213623047,117.31999969482422,176940500
2020-09-09,AAPL,14081181,592,26548583,N,NYTRF,119.13999938964844,115.26000213623047,117.26000213623047,117.31999969482422,176940500
2020-09-10,AAPL,360072,0,798310,B,NCTRF,120.5,112.5,120.36000061035156,113.48999786376953,182274400
2020-09-10,AAPL,20235077,200807,60502392,Q,NQTRF,120.5,112.5,120.36000061035156,113.48999786376953,182274400
2020-09-10,AAPL,16143653,0,30725535,N,NYTRF,120.5,112.5,120.36000061035156,113.48999786376953,182274400
2020-09-11,AAPL,426022,0,733752,B,NCTRF,115.2300033569336,110.0,114.56999969482422,112.0,180860300
